describle,movie_name,movie_num,star,value
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,菊次郎的夏天,121,8.8,287067人评价
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,小森林 冬春篇,122,9.0,198148人评价
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,爱在日落黄昏时,123,8.8,287189人评价
10年的完美句点。,哈利·波特与死亡圣器(下),124,8.7,411534人评价
动画片的圣经。,风之谷,125,8.8,247100人评价
有时候幸福需要等一等。 ,幸福终点站,126,8.7,312373人评价
诺兰就是保证。,蝙蝠侠：黑暗骑士崛起,127,8.7,418656人评价
触不到的恋人。,萤火之森,128,8.8,264612人评价
被上帝抛弃了的上帝之城。,上帝之城,129,8.9,201280人评价
曾经的那段美好会沉淀为一辈子的记忆。,借东西的小人阿莉埃蒂,130,8.8,310887人评价
华太师是黄霑，吴镇宇四大才子之一。,唐伯虎点秋香,131,8.6,551730人评价
Balalala~~~,超能陆战队,132,8.6,570438人评价
Mr. I Don't Care其实也有Care的时候。,神偷奶爸,133,8.5,577423人评价
我的平常生活就是他人的幸福。,无人知晓,134,9.1,135067人评价
不要给它起名字，起了名字就有感情了。,怪兽电力公司,135,8.7,366469人评价
真相就在眼前。,电锯惊魂,136,8.7,290194人评价
跨度十五年的欢乐与泪水。,玩具总动员3,137,8.8,281199人评价
岁月流逝，来日可追。,岁月神偷,138,8.7,396363人评价
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,血战钢锯岭,139,8.7,476357人评价
像吃了苏打饼一样干脆的电影。,谍影重重3,140,8.8,256510人评价
老少皆宜，这就是好莱坞动画的魅力。,疯狂原始人,141,8.7,522392人评价
英雄泪短，兄弟情长。 ,英雄本色,142,8.7,279463人评价
时代悲歌。,七武士,143,9.2,109533人评价
中国家庭的喜怒哀乐忍。,喜宴,144,8.9,196483人评价
幸福是生生不息，却难以触及的远。 ,萤火虫之墓,145,8.7,273799人评价
电影诗。,东邪西毒,146,8.6,364907人评价
爱，是个动词。,真爱至上,147,8.6,432510人评价
爱是摈弃傲慢与偏见之后的曙光。,傲慢与偏见,148,8.6,433062人评价
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,时空恋旅人,149,8.7,305278人评价
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,贫民窟的百万富翁,150,8.6,500168人评价
黑暗之美。,黑天鹅,151,8.5,552030人评价
一个针管引发的血案。,记忆碎片,152,8.6,375419人评价
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,心迷宫,153,8.7,276320人评价
香港浪漫主义警匪动作片的巅峰之作。,纵横四海,154,8.8,228571人评价
任何信念的力量，都无法改变命运。,教父3,155,8.8,193384人评价
始于荒诞，止于更荒诞。,荒蛮故事,156,8.8,225535人评价
坏人的好总是比好人的好来得更感人。,完美的世界,157,9.1,124053人评价
Jared Leto的腿比女人还美！,达拉斯买家俱乐部,158,8.7,266523人评价
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,雨人,159,8.7,268786人评价
怼天怼地，你走后，她与世界为敌。,三块广告牌,160,8.7,497578人评价
偷情本没有这样美。,花样年华,161,8.6,339410人评价
热血沸腾，那个低俗、性感的无耻混蛋又来了。,被解救的姜戈,162,8.7,360166人评价
当这个世界闭上双眼，他却敞开了怀抱。,卢旺达饭店,163,8.9,162401人评价
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,你的名字。,164,8.4,764661人评价
爱并不需要智商 。,我是山姆,165,8.9,157595人评价
愿我们都不用长大，每一座城堡都能永远存在。,头脑特工队,166,8.7,342438人评价
我们都有权利不与自己的过去和解。,海边的曼彻斯特,167,8.6,296634人评价
